time,q05,q10,q20,q30,q40,q50,q60,q70,q80,q90,q95,y_true
2020-11-02 10:30,24564.62109375,25001.21484375,25308.884765625,25469.759765625,25580.078125,25699.94921875,25715.646484375,25866.087890625,25983.7578125,26271.03125,26533.55859375,25167.799
2020-11-02 10:45,27045.23046875,27491.03515625,27781.90234375,27905.59765625,27992.03515625,28090.3671875,28097.64453125,28235.62109375,28346.03125,28612.15234375,28881.375,28085.598
2020-11-02 11:00,29697.765625,30129.32421875,30424.10546875,30511.78515625,30571.08984375,30685.39453125,30685.39453125,30800.83203125,30890.13671875,31102.83984375,31369.9140625,30359.668
2020-11-02 11:15,31246.53125,31786.1328125,32154.328125,32293.3671875,32365.76171875,32528.85546875,32559.859375,32749.15234375,32867.90234375,33114.359375,33441.73046875,31993.332
2020-11-02 11:30,32416.8203125,33007.9296875,33400.20703125,33565.390625,33654.1171875,33817.06640625,33857.35546875,34087.38671875,34239.76171875,34491.0625,34877.58984375,33570.664
2020-11-02 11:45,34069.00390625,34600.8828125,34912.71875,35045.8515625,35106.453125,35240.0234375,35240.0234375,35440.85546875,35557.80078125,35768.1484375,36163.55078125,34694.133
2020-11-02 12:00,34869.55859375,35438.5,35764.4609375,35953.65234375,36011.73046875,36181.640625,36183.6171875,36437.8203125,36561.859375,36781.2109375,37227.53515625,31625.398
2020-11-02 12:15,22185.681640625,23820.869140625,26888.2734375,28331.7109375,29570.3984375,30628.11328125,31825.8515625,33266.94140625,34571.578125,35745.9453125,36889.921875,35735.332
2020-11-02 12:30,30138.29296875,31566.3046875,34100.2734375,35388.484375,36291.16796875,37061.3203125,37683.59765625,38490.3671875,39302.078125,40334.71875,41451.63671875,37846.4
2020-11-02 12:45,34969.25390625,36308.3125,37907.6328125,38555.96484375,38845.5078125,39186.35546875,39427.65234375,39772.41796875,39935.546875,40717.05859375,41273.58203125,38162.0
2020-11-02 13:00,36489.41796875,37654.22265625,38625.0546875,39102.12890625,39178.66015625,39507.05078125,39567.84375,39930.296875,40025.05859375,40515.66796875,41089.83203125,38618.53
2020-11-02 13:15,36773.94140625,37900.72265625,38655.0234375,39148.26171875,39194.16015625,39537.53125,39596.97265625,39971.484375,40103.44140625,40516.27734375,41145.76953125,38753.53
2020-11-02 13:30,37062.01953125,38112.05078125,38724.8125,39148.53125,39174.16015625,39468.921875,39510.7109375,39856.296875,39965.54296875,40327.90625,40942.7265625,33422.13
2020-11-02 13:45,21225.962890625,23618.40625,27275.9921875,28961.078125,30345.1640625,31701.6875,33079.72265625,35004.76171875,36437.63671875,37925.47265625,39322.3203125,19728.0
2020-11-02 14:00,13747.1728515625,15120.1298828125,16709.888671875,18478.216796875,20402.6328125,21568.27734375,23730.23828125,26400.3359375,28650.296875,33069.9453125,36357.42578125,15924.533
2020-11-02 14:15,12531.484375,12668.712890625,13478.8125,14894.9267578125,15522.5,16138.0380859375,16978.77734375,18179.2421875,19839.53125,23943.5546875,27195.7109375,15595.465
2020-11-02 14:30,13377.091796875,13594.7421875,14501.5546875,15601.52734375,15753.07421875,16173.306640625,16611.513671875,17248.01171875,18016.064453125,20872.9921875,23365.05859375,15527.533
2020-11-02 14:45,14896.09375,15247.25,16117.94140625,16528.255859375,16804.12109375,17139.517578125,17316.291015625,17577.181640625,18003.529296875,19520.326171875,21067.17578125,29733.066
2020-11-02 15:00,23610.64453125,26089.484375,29839.0859375,31988.46875,34134.1015625,35434.5234375,36432.5390625,38020.37109375,39397.16796875,40708.64453125,42234.359375,25954.2
2020-11-02 15:15,14531.60546875,16707.70703125,20675.494140625,22303.962890625,23603.392578125,24919.45703125,25810.2421875,27201.734375,28615.8515625,31207.0859375,33083.73046875,27379.465
2020-11-02 15:30,20771.5859375,22927.9375,26068.08984375,27726.91796875,28768.78125,30015.1171875,30910.1015625,32060.44140625,33375.65234375,35290.39453125,37105.1171875,29595.73
2020-11-02 15:45,21773.46875,24023.7578125,26572.109375,27278.19140625,28161.19140625,28918.3984375,29536.8671875,30168.390625,30912.90234375,32489.79296875,33901.99609375,28987.129
2020-11-02 16:00,21803.35546875,23830.27734375,25863.11328125,26353.484375,27153.82421875,27617.1875,28068.328125,28598.85546875,29125.2578125,30284.37109375,31531.8515625,26664.863
2020-11-02 16:15,20115.43359375,21492.080078125,23246.767578125,23576.85546875,24395.6640625,24752.15625,25178.515625,25766.521484375,26371.38671875,27515.1171875,28584.171875,24147.934
2020-11-02 16:30,18995.05078125,19923.13671875,21097.33203125,21386.037109375,21925.0078125,22182.26171875,22492.173828125,22964.2890625,23446.65625,24487.9609375,25494.37109375,21109.533
2020-11-02 16:45,16211.2275390625,16868.853515625,17684.6875,18049.470703125,18380.310546875,18612.76171875,18892.84765625,19197.06640625,19700.29296875,20604.44921875,21534.80078125,18142.8
2020-11-02 17:00,13593.2705078125,14212.55078125,14751.8203125,14983.5,15167.12109375,15335.4072265625,15549.267578125,15745.310546875,16129.302734375,16811.5,17588.634765625,15149.666
2020-11-02 17:15,10764.7607421875,11322.7412109375,11747.880859375,11830.859375,12005.216796875,12158.125,12341.76953125,12491.912109375,12804.8154296875,13334.8193359375,13947.22265625,11787.799
2020-11-02 17:30,7350.18505859375,7755.380859375,8090.19091796875,8181.3388671875,8363.517578125,8473.0654296875,8676.826171875,8801.9638671875,9078.568359375,9555.30859375,10046.6787109375,7947.3994
2020-11-02 17:45,3893.54443359375,4099.90380859375,4329.29150390625,4536.533203125,4645.16162109375,4763.20947265625,4927.1943359375,5054.427734375,5309.5087890625,5721.072265625,6062.361328125,4107.2666
2020-11-02 18:00,1396.541015625,1480.3291015625,1613.91162109375,1861.43359375,1889.3369140625,2042.45458984375,2093.4140625,2191.5517578125,2453.4541015625,2695.638671875,2846.345703125,1556.7324
2020-11-02 18:15,209.8310546875,258.2080078125,341.2783203125,546.9892578125,548.6494140625,657.3828125,657.3828125,677.2216796875,944.1728515625,1027.9013671875,1027.9013671875,299.4668
2020-11-03 08:30,0.0,0.0,99.8193359375,255.63671875,297.517578125,425.0625,466.1630859375,567.7265625,818.4443359375,1003.5751953125,1003.5751953125,589.0664
2020-11-03 08:45,760.2060546875,1007.822265625,1188.6083984375,1368.375,1502.90234375,1635.4990234375,1765.5361328125,1830.32373046875,2137.63232421875,2410.69482421875,2446.689453125,1943.1997
2020-11-03 09:00,2737.72119140625,3248.9814453125,3458.62158203125,3738.90380859375,3956.4501953125,4129.0888671875,4322.27685546875,4423.2216796875,4762.73779296875,5160.400390625,5358.693359375,4578.5996
2020-11-03 09:15,6454.09326171875,7188.361328125,7522.029296875,7946.23291015625,8132.22265625,8466.02734375,8608.19140625,8814.93359375,9106.8798828125,9581.294921875,9951.7744140625,8595.533
2020-11-03 09:30,10789.283203125,11563.193359375,12186.5166015625,12509.23828125,12741.3388671875,13093.4912109375,13192.3896484375,13435.951171875,13724.8662109375,14240.7333984375,14541.4765625,12498.0
2020-11-03 09:45,14576.205078125,15162.52734375,15828.3046875,15836.6416015625,16103.01953125,16249.578125,16326.0263671875,16466.576171875,16610.943359375,17148.328125,17278.482421875,16202.932
2020-11-03 10:00,18905.38671875,19321.767578125,19704.125,19710.033203125,19853.44921875,19997.0703125,19997.0703125,20066.94140625,20111.572265625,20410.619140625,20524.921875,19511.932
2020-11-03 10:15,21977.33203125,22365.296875,22670.517578125,22806.75390625,22917.8203125,23084.787109375,23084.787109375,23214.943359375,23296.662109375,23556.185546875,23747.95703125,22356.998
2020-11-03 10:30,24432.326171875,24855.607421875,25175.77734375,25346.1171875,25464.21875,25601.98046875,25635.17578125,25792.1484375,25922.7421875,26216.1953125,26469.83984375,25142.531
2020-11-03 10:45,27081.4375,27500.59375,27786.296875,27903.1328125,27990.19921875,28085.64453125,28090.80078125,28224.6484375,28335.984375,28598.1015625,28858.55859375,27819.664
2020-11-03 11:00,29435.50390625,29868.94921875,30167.8828125,30256.10546875,30319.9765625,30433.08984375,30433.08984375,30566.18359375,30669.3671875,30896.84375,31163.6640625,30189.402
2020-11-03 11:15,31263.9609375,31762.0859375,32099.6484375,32209.6640625,32276.76171875,32422.7734375,32433.30078125,32604.1171875,32721.23828125,32951.81640625,33269.7109375,32013.129
2020-11-03 11:30,32646.0,33185.94140625,33527.296875,33667.6015625,33740.07421875,33889.51171875,33899.7265625,34106.171875,34245.734375,34476.25,34841.0,33669.465
2020-11-03 11:45,34285.8203125,34782.7265625,35062.44140625,35188.2109375,35237.9140625,35372.18359375,35372.18359375,35550.30078125,35659.37890625,35856.2265625,36236.80859375,35025.266
2020-11-03 12:00,35340.50390625,35858.4375,36137.625,36305.18359375,36349.15625,36515.4921875,36515.4921875,36733.5,36836.12890625,37029.94921875,37456.046875,36203.863
2020-11-03 12:15,36086.19921875,36653.3046875,36954.68359375,37170.5703125,37233.6328125,37419.83203125,37419.83203125,37673.4375,37790.0078125,37992.09765625,38476.046875,37378.8
2020-11-03 12:30,37165.4140625,37715.8046875,37976.51953125,38185.12890625,38242.734375,38406.4453125,38406.4453125,38623.05078125,38716.0625,38907.04296875,39392.12890625,38161.0
2020-11-03 12:45,37892.1484375,38446.8125,38689.1328125,38939.94140625,38985.984375,39161.375,39161.375,39392.45703125,39463.6015625,39654.375,40144.4453125,38696.73
2020-11-03 13:00,38175.58984375,38763.08203125,39024.36328125,39326.7265625,39386.34765625,39592.06640625,39592.06640625,39861.28125,39938.203125,40132.1328125,40658.078125,39234.2
2020-11-03 13:15,38368.37109375,38990.91015625,39277.85546875,39601.23828125,39677.546875,39895.375,39915.4375,40179.46484375,40268.5546875,40476.1171875,41036.046875,39077.6
2020-11-03 13:30,37520.65234375,38273.953125,38690.51953125,39116.0703125,39199.26953125,39457.08984375,39540.62109375,39870.515625,40019.84375,40285.87109375,40885.7734375,38888.53
2020-11-03 13:45,37231.75,38006.7578125,38440.78515625,38833.203125,38869.37890625,39086.91796875,39131.82421875,39455.1171875,39595.83984375,39836.67578125,40389.0625,39166.2
2020-11-03 14:00,38178.16015625,38800.76171875,39221.66796875,39505.4296875,39600.36328125,39798.99609375,39812.578125,40034.69140625,40140.54296875,40377.203125,40937.79296875,38736.863
2020-11-03 14:15,36001.421875,36886.13671875,37561.4921875,38110.0859375,38195.69921875,38543.296875,38689.75,39053.171875,39282.92578125,39645.5,40286.92578125,27570.062
2020-11-03 14:30,16876.052734375,19062.84375,22377.46875,23799.576171875,25847.77734375,27537.6171875,29523.78125,31911.36328125,33837.23046875,36016.27734375,37746.30859375,17206.668
2020-11-03 14:45,13031.5390625,13298.283203125,14208.310546875,15769.6455078125,17283.47265625,18014.41015625,19659.5234375,21438.09375,23571.4921875,27934.42578125,31243.71875,17255.0
2020-11-03 15:00,14931.6171875,15670.578125,17448.4140625,18811.3125,19412.46875,20098.99609375,20879.412109375,22147.66015625,23296.041015625,26989.09375,29499.90625,17302.332
2020-11-03 15:15,15124.845703125,15373.158203125,16293.97265625,17483.076171875,17655.98828125,18341.486328125,18683.927734375,19461.2421875,20383.4921875,23414.09765625,25806.99609375,22597.334
2020-11-03 15:30,20598.072265625,22370.921875,25002.04296875,26946.515625,28150.0078125,29322.57421875,30127.96875,31785.96875,33007.8359375,35191.8046875,36981.546875,24785.27
2020-11-03 15:45,21122.8359375,22702.515625,24675.1640625,25372.3046875,25789.0859375,26412.2734375,26799.81640625,27634.63671875,28284.4921875,30333.30859375,31899.11328125,27927.266
2020-11-03 16:00,21979.30078125,24019.47265625,26180.28515625,27321.78125,28045.08984375,28752.55078125,29239.4296875,30009.48828125,30563.65234375,31814.37890625,33256.328125,27621.598
2020-11-03 16:15,21216.828125,22856.3828125,24770.705078125,25240.32421875,25923.46875,26211.90625,26628.984375,27091.609375,27429.5703125,28437.61328125,29431.109375,25345.865
2020-11-03 16:30,19857.49609375,20967.587890625,22352.0546875,22657.7578125,23206.50390625,23405.220703125,23729.958984375,24131.00390625,24500.02734375,25334.59375,26245.55859375,22737.33
