slot,hour,minute,n_samples,q05,q10,q20,q30,q40,q50,q60,q70,q80,q90,q95
69,17,15,109,0.217133256378091,0.22721101434225574,0.23769513392025693,0.24788664459250914,0.2522129762064777,0.2589027325974089,0.2649154800307332,0.27268014272575697,0.28156720387396655,0.29776546197077364,0.3145040721561349
70,17,30,109,0.1684348883745097,0.17555773103985067,0.1829369863508668,0.1906674448843459,0.1939301748800669,0.19884067595340357,0.20332635259707488,0.2082911995028285,0.21522825254204775,0.2283035228075328,0.24149703436137077
71,17,45,109,0.11781723632277893,0.12238027875283067,0.12771476645381133,0.1339309352203017,0.13613435511002353,0.14019146637832294,0.1435216158191941,0.1471293930761896,0.15354095004856752,0.16365715702510256,0.17332433644496484
72,18,0,106,0.07766983794920768,0.08123163422943061,0.08517517926935585,0.09024242685397667,0.09220019088289469,0.09552356573880623,0.097731022052679,0.10042375956292066,0.1066027061224119,0.11379275310487305,0.1202134847469031
73,18,15,62,0.0832415662659125,0.0872340406311057,0.09122489297979126,0.09565916923938086,0.09773030747631449,0.10106929477356742,0.10328901419411601,0.10620322261735433,0.11205007252405798,0.12017522053453521,0.1268762328401311
74,18,30,47,0.061798754418684806,0.06424567973033471,0.06739370604124564,0.07174391550108163,0.07337028776128984,0.07614696038814324,0.07805000548808641,0.0804455474020975,0.0858460496886689,0.0933685856668398,0.09854314855732621
75,18,45,37,0.039602199095460186,0.0409787818839684,0.04372251356585725,0.047540255800341026,0.04880412902043648,0.05118361928184662,0.052606337200559364,0.05418749588233618,0.05932419107629497,0.06516208656029954,0.06811094482862752
76,19,0,28,0.021755788095316708,0.02262491293188868,0.024878493024688593,0.02822273714865267,0.029078193849141034,0.0313667907239107,0.032253519985757026,0.033341479051100936,0.03825958708376267,0.04283556588787235,0.04457160863348798
77,19,15,19,0.008065184219592642,0.00874571054363221,0.010853606227479768,0.014472398534333969,0.014803022141900246,0.016951879761061134,0.017682618109001607,0.01880838674786374,0.02348767815134144,0.027228854895401184,0.02806371611978287
78,19,30,9,0.0006736157733649371,0.0010072552729465433,0.0023363705010339135,0.0052338581887001676,0.0052941038650653974,0.006732359374844244,0.007646802676816475,0.008563110417104636,0.012967680339313135,0.01604309334413031,0.016192873748964207
79,19,45,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0505704597596496e-05,0.0041933394833394535,0.006198991052141313,0.006198991052141313
80,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,20,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,20,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,20,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,21,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,21,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,21,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,22,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,22,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,22,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,23,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,23,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,23,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
